#
#
#
#
#
#
#
#
#
#
org_code	eng_org	chn_org	eng_abbr	comment	comment2
fme	Elizabethkingia meningosepticum	ÄÔÄ¤Ñ×°ÜÑªÒÁÀöÉ¯°×¸Ë¾ú	E.meningosepticum	
fne	Fusobacterium necrophorum ss. necrophorum	»µËÀËó¸Ë¾ú		
fnu	Fusobacterium nucleatum ss. Nucleatum	¾ßºËËó¸Ë¾ú		
fod	Myroides odoratum	ÏãÎ¶¾úÊô	M.odoratum	
fu-	Fusobacterium sp.	Ëó¾úÊô		
fus	Fusarium sp.	Á­µ¶¾úÊô	Fusarium sp.	
geo	Geotrichum sp.	µØË¿¾úÊô	Geotrichum sp.	
gmo	Gemella morbillorum	ÂéÕîÂÏÉúÇò¾ú		
gva	Gardnerella vaginalis	ÒõµÀ¼ÓµÂÄÉ¾ú		
hin	Haemophilus influenzae	Á÷¸ĞÊÈÑª¸Ë¾ú	H.influenzae	
hpi	Haemophilus parainfluenzae	¸±Á÷¸ĞÊÈÑª¸Ë¾ú	H.parainfluenzae	
hpy	Helicobacter pylori	ÓÄÃÅÂİ¸Ë¾ú	H.pylori	
kkr	Kocuria kristinae	¿ËÊÏ¿â¿Ë¾ú		
kor	Raoultella ornitholytica	½âÄñ°±ËáÀ­ÎÚ¶û¾ú		
kox	Klebsiella oxytoca	²úËá¿ËÀ×²®¾ú	K.oxytoca	
koz	Klebsiella pneumoniae ss. ozaenae	·ÎÑ×¿ËÀ×²®¾ú³ô±ÇÑÇÖÖ	K.pneumoniae ss.ozaenae	
kpl	Raoultella planticola	Ö²ÉúÀ­ÎÚ¶û¾ú	R.planticola	
kpn	Klebsiella pneumoniae ss. pneumoniae	·ÎÑ×¿ËÀ×²®¾ú	K.pneumoniae	
kva	Kocuria varians	±äÒì¿â¿Ë¾ú		
lad	Leclercia adecarboxylata	·ÇÍÑôÈÀÕ¾ú	L.adecarboxylata	
lap	Lactobacillus acidophilus	ÊÈËáÈéËá¸Ë¾ú		
lmo	Listeria monocytogenes	²úµ¥ºËÀîË¹ÌØ¾ú	L.monocytogenes	
mab	Mycobacterium chelonae ss. abscessus			
met	Methanobacterium sp.	¼×ÍéÏ¸¾úÊô	Methanobacterium sp.	
mic	Micrococcus sp.	Î¢Çò¾úÊô	Micrococcus sp.	
mlu	Micrococcus luteus	ÌÙ»ÆÎ¢Çò¾ú	M.luteus	
mmo	Morganella morganii ss. morganii	Ä¦ÊÏÄ¦¸ù¾ú	M.morganii	
mmu	Mobiluncus mulieris	ĞßÇÓ¶¯Íä¸Ë¾ú	M.mulieris	
mos	Moraxella osloensis	°ÂË¹Â½ÄªÀ­¾ú		
nfa		Æ¤¾ÒÅ«¿¨¾ú		
ngo	Neisseria gonorrhoeae	ÁÜ²¡ÄÎÉª¾ú		
nme	Neisseria meningitidis	ÄÔÄ¤Ñ×ÄÎÉª¾ú		
nor	Normal flora	Õı³£¾úÈº		
nsi	Neisseria sicca	¸ÉÔïÄÎÉªÇò¾ú		
oan	Ochrobactrum anthropi	ÈË²Ô°×¸Ë¾ú	O.anthropi	
pae	Pseudomonas aeruginosa	Í­ÂÌ¼Ùµ¥°û¾ú	P.aeruginosa	
pam	Pasteurella multocida	¶àÉ±°ÍË¹µÂ¾ú	Pasteurella multocida	
pan	Pantoea sp.	·º¾úÊô		
pce	Burkholderia cepacia	Ñó´Ğ²®¿Ë»ô¶ûµÂ¾ú	B.cepacia	
pen		ÇàÃ¹Êô		
pes	Peptostreptococcus anaerobius	ÑáÑõÏû»¯Á´Çò¾ú		
pfl	Pseudomonas fluorescens	Ó«¹â¼Ùµ¥°û¾ú	P.fluorescens	
pgr	Propionibacterium granulosum	¿ÅÁ£±ûËá¸Ë¾ú		
pma	Stenotrophomonas maltophilia	ÊÈÂóÑ¿Õ­Ê³µ¥°û¾ú	S.maltophilia	
pme		ÃÅ¶àÈø¼Ùµ¥°û¾ú		
pmg	Finegoldia magna	´ó·Ò¸ê¶ûµÂ¾ú		
pmi	Proteus mirabilis	ÆæÒì±äĞÎ¸Ë¾ú	P.mirabilis	
ppe	Proteus penneri	ÅíÊÏ±äĞÎ¸Ë¾ú	P.penneri	
ppi	Ralstonia pickettii	Æ¤ÊÏÂŞ¶ûË¹¶Ù¾ú	R.pickettii	
pps	Staphylococcus saccharolyticus	½âÌÇÆÏÌÑÇò¾ú		
ppu	Pseudomonas putida	¶ñ³ô¼Ùµ¥°û¾ú	P.putida	
pr-	Proteus sp.	±äĞÎ¾úÊô	Proteus sp.	
pre	Proteus rettgeri	À×ÊÏ±äĞÎ¸Ë¾ú	P.rettgeri	
pro	Propionibacterium acnes	ğî´¯±ûËá¸Ë¾ú		
prt	Prevotella sp.	ÆÕÀ×ÎÖ¾úÊô		
pst	Providencia stuartii	Ë¹ÊÏÆÕÂŞÍşµÇË¹¾ú	P.stuartii	
pvu	Proteus vulgaris	ÆÕÍ¨±äĞÎ¸Ë¾ú		
pwi	Prototheca wickerhamii	ÎºÊÏÔ­±Ú¾ú	P.wickerhamii	
ral		ÂŞ¶ûË¹¶Ù¾ú		
rhi		¸ùÃ¹Êô		
sab	Salmonella Paratyphi B	ÒÒĞÍ¸±ÉËº®É³ÃÅ¾ú		
sai	Staphylococcus auricularis	¶úÆÏÌÑÇò¾ú	S.auricularis	
saj	Abiotrophia adiacens	Æ¶Ñõ¿ÅÁ£Á´¾ú	A.adiacens	
sal	Salmonella sp.	É³ÃÅ¾úÊô		
sam	Salmonella Typhimurium	ÊóÉËº®É³ÃÅ¾ú		
san	Streptococcus anginosus	ÑÊÏ¿Ñ×Á´Çò¾ú	S.anginosus	
sap	Staphylococcus saprophyticus	¸¯ÉúÆÏÌÑÇò¾ú	S.saprophyticus	
sas	Scedosporium apiospermum	¼â¶ËÈü¶àæß×Ó¾ú	Scedosporium apiospermum	
sau	Staphylococcus aureus ss. Aureus	½ğ»ÆÉ«ÆÏÌÑÇò¾ú	S.aureus	
sca	Staphylococcus capitis ss. capitis	Í·×´ÆÏÌÑÇò¾ú	S.capitis	
sce		Äğ¾Æ½ÍÄ¸¾ú		
scg	Staphylococcus chromogenes	²úÉ«ÆÏÌÑÇò¾ú		
scn	"Staphylococcus, coagulase negative"	Äı¹ÌÃ¸ÒõĞÔÆÏÌÑÇò¾ú	S.coagulase negative	
scp	Staphylococcus caprae	É½ÑòÆÏÌÑÇò¾ú		
